cancer_type,NCT Number,Study Title,Sponsor,Phases,Enrollment,Funder Type,Locations,Study Documents,Zipcode
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,11553
solid,NCT06815432,GPC-3 CAR T CELLS FOR Recurrent GPC-3 Positive Glioblastoma,Baylor College of Medicine,PHASE1,27,OTHER,"Baylor St. Luke's Medical Center, Houston, Texas, 77030, United States",,77030
solid,NCT05225363,Modified Immune Cells (TAG72-CAR T Cells) for the Treatment of Patients With Platinum Resistant Epithelial Ovarian Cancer,City of Hope Medical Center,PHASE1,33,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
solid,NCT04897321,B7-H3-Specific Chimeric Antigen Receptor Autologous T-Cell Therapy for Pediatric Patients With Solid Tumors (3CAR),St. Jude Children's Research Hospital,PHASE1,32,OTHER,"St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States",,38105
solid,NCT04715191,Interleukin-15 and -21 Armored Glypican-3-specific Chimeric Antigen Receptor Expressed in T Cells for Pediatric Solid Tumors,Baylor College of Medicine,PHASE1,24,OTHER,"Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT04020575,Autologous huMNC2-CAR44 or huMNC2-CAR22 T Cells for Breast Cancer Targeting Cleaved Form of MUC1 (MUC1*),Minerva Biotechnologies Corporation,PHASE1,69,INDUSTRY,"City of Hope Medical Center, Duarte, California, 91010-3000, United States",,91010
solid,NCT05805371,PSCA-Targeting CAR-T Cells Plus or Minus Radiation for the Treatment of Patients With PSCA+ Metastatic Castration-Resistant Prostate Cancer,City of Hope Medical Center,PHASE1,21,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
solid,NCT07222735,Hypofractionated Radiation in Combination With B7-H3-CAR T Cells for Pediatric Patients With Relapsed/Refractory Sarcomas,St. Jude Children's Research Hospital,PHASE1,42,OTHER,"St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States",,38105
solid,NCT05835687,Loc3CAR: Locoregional Delivery of B7-H3-CAR T Cells for Pediatric Patients With Primary CNS Tumors,St. Jude Children's Research Hospital,PHASE1,48,OTHER,"St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States",,38105
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,85234
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,90404
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,94305
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,32224
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,33606
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,55905
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,63110
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,10016
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,43210
solid,NCT06051695,"A Study to Evaluate the Safety and Efficacy of Mesothelin-Targeting Logic-gated CAR T, in Participants With Solid Tumors That Express MSLN and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,474,INDUSTRY,"Banner Health, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Stanford University, Stanford, California, 94305, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Medical Center, New York, New York, 10016, United States|The Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|Fred Hutchinson Cancer Center, Seattle, Washington, 98109, United States",,98109
solid,NCT06046040,TmPSMA-02 in mCRPC,University of Pennsylvania,PHASE1,30,OTHER,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",,19104
solid,NCT06964737,Anti-GARP Chimeric Antigen Receptor T Cell Therapy for the Treatment of Recurrent Grade III or IV Gliomas,Ohio State University Comprehensive Cancer Center,PHASE1,30,OTHER,"Ohio State University Comprehensive Cancer Center, Columbus, Ohio, 43210, United States",,43210
solid,NCT04099797,C7R-GD2.CAR T Cells for Patients With GD2-expressing Brain Tumors (GAIL-B),Baylor College of Medicine,PHASE1,37,OTHER,"Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT04003649,IL13Ra2-CAR T Cells With or Without Nivolumab and Ipilimumab in Treating Patients With GBM,City of Hope Medical Center,PHASE1,60,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
solid,NCT06482905,Safety and Efficacy Study of TX103 CAR-T Cell Therapy for Recurrent or Progressive Grade 4 Glioma.,Tcelltech Inc.,PHASE1,52,INDUSTRY,"Mayo Clinic in Arizona, Phoenix, Arizona, 85054, United States|Mayo Clinic in Florida, Jacksonville, Florida, 32224, United States|Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States|Beijing Tiantan Hospital, Beijing, Beijing Municipality, 100730, China",,85054
solid,NCT06482905,Safety and Efficacy Study of TX103 CAR-T Cell Therapy for Recurrent or Progressive Grade 4 Glioma.,Tcelltech Inc.,PHASE1,52,INDUSTRY,"Mayo Clinic in Arizona, Phoenix, Arizona, 85054, United States|Mayo Clinic in Florida, Jacksonville, Florida, 32224, United States|Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States|Beijing Tiantan Hospital, Beijing, Beijing Municipality, 100730, China",,32224
solid,NCT06482905,Safety and Efficacy Study of TX103 CAR-T Cell Therapy for Recurrent or Progressive Grade 4 Glioma.,Tcelltech Inc.,PHASE1,52,INDUSTRY,"Mayo Clinic in Arizona, Phoenix, Arizona, 85054, United States|Mayo Clinic in Florida, Jacksonville, Florida, 32224, United States|Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States|Beijing Tiantan Hospital, Beijing, Beijing Municipality, 100730, China",,55905
solid,NCT06815029,Intracranial Genetically Modified Immune Cells (TGFβR2KO/IL13Rα2 CAR T-Cells) for the Treatment of Recurrent or Progressive Glioblastoma or Grade 3 or 4 IDH-Mutant Astrocytoma,City of Hope Medical Center,PHASE1,27,OTHER,"City of Hope Medical Center, Duarte, California, 91010, United States",,91010
solid,NCT04995003,HER2 Chimeric Antigen Receptor (CAR) T Cells in Combination With Checkpoint Blockade in Patients With Advanced Sarcoma,Baylor College of Medicine,PHASE1,25,OTHER,"Texas Children's Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT07224568,Cytokine Armored GPC3 Specific Chimeric Antigen Receptor Expressing T-cells in Adults With Solid Tumors,Seattle Children's Hospital,PHASE1,21,OTHER,"Fred Hutch Cancer Center, Seattle, Washington, 98109, United States",,98109
solid,NCT07148050,Immunotherapy for Solid Tumor Malignancies in Pediatrics Using Interleukin-15 and -21 Armored Glypican-3-specific Chimeric Antigen Receptor T Cells,Seattle Children's Hospital,PHASE1,21,OTHER,"Seattle Children's Hospital, Seattle, Washington, 98105, United States",,98105
solid,NCT06251544,TRAIL-R2 and HER2 Bi-Specific Chimeric Antigen Receptor (CAR) T Cells for the Treatment of Metastatic Breast Cancer,Baylor College of Medicine,PHASE1,27,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT05353530,IL-8 Receptor-modified CD70 CAR T Cell Therapy in CD70+ Adult Glioblastoma,University of Florida,PHASE1,39,OTHER,"University of Florida Health, Gainesville, Florida, 32608, United States",,32608
solid,NCT04119024,Gene Modified Immune Cells After Conditioning Regimen for the Treatment of Stage IIIC or IV Melanoma or Metastatic Solid Tumors,Anusha Kalbasi,PHASE1,18,OTHER,"UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, 90095, United States|Stanford Cancer Institute, Stanford, California, 93405, United States",,90095
solid,NCT04119024,Gene Modified Immune Cells After Conditioning Regimen for the Treatment of Stage IIIC or IV Melanoma or Metastatic Solid Tumors,Anusha Kalbasi,PHASE1,18,OTHER,"UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, 90095, United States|Stanford Cancer Institute, Stanford, California, 93405, United States",,93405
solid,NCT06682793,"A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With Solid Tumors That Express EGFR and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,240,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Health, New York, New York, 10016, United States|The Ohio State University, Columbus, Ohio, 43210, United States|Fred Hutch Cancer Center, Seattle, Washington, 98109, United States",,85234
solid,NCT06682793,"A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With Solid Tumors That Express EGFR and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,240,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Health, New York, New York, 10016, United States|The Ohio State University, Columbus, Ohio, 43210, United States|Fred Hutch Cancer Center, Seattle, Washington, 98109, United States",,90404
solid,NCT06682793,"A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With Solid Tumors That Express EGFR and Have Lost HLA-A*02 Expression",A2 Biotherapeutics Inc.,PHASE1|PHASE2,240,INDUSTRY,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|UCSD Moores Cancer Center, La Jolla, California, 92093, United States|UCLA Medical Center, Los Angeles, California, 90404, United States|Mayo Clinic, Jacksonville, Florida, 32224, United States|Moffitt Cancer Center, Tampa, Florida, 33606, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States|Washington University, St Louis, Missouri, 63110, United States|NYU Langone Health, New York, New York, 10016, United States|The Ohio State University, Columbus, Ohio, 43210, United States|Fred Hutch Cancer Center, Seattle, Washington, 98109, United States",,32224
